gene pos_mean pos_sd pos_sCV Fano_pos neg_mean neg_sd neg_sCV Fano_neg
Stk17b 0.1943 0.6138 9.9776 1.9387 0.2244 0.623 7.7065 1.7294
Sf3b1 0.6472 0.9902 2.341 1.515 0.8426 0.9918 1.3857 1.1676
Hspd1 0.3349 0.7507 5.0249 1.6828 0.4625 0.8058 3.0348 1.4038
Hspe1 0.2379 0.6542 7.5618 1.799 0.2664 0.6355 5.6935 1.5165
Mob4 0.3163 0.7444 5.5405 1.7522 0.3232 0.6933 4.602 1.4874
Bzw1 0.9603 1.1051 1.3243 1.2717 1.0036 1.0378 1.0693 1.0731
Ndufb3 0.612 0.964 2.4813 1.5185 0.7011 0.9176 1.7128 1.2008
Cflar 0.1901 0.5926 9.7134 1.8469 0.2049 0.5638 7.5739 1.5516
Casp8 0.2627 0.6795 6.691 1.7577 0.2529 0.6113 5.845 1.478
Sumo1 1.4785 1.2154 0.6758 0.9991 1.3307 1.0549 0.6284 0.8362
Eef1b2 0.7198 1.0425 2.0973 1.5097 0.8735 1.0134 1.3461 1.1758
Idh1 0.1531 0.5325 12.0932 1.8516 0.3269 0.7051 4.6512 1.5206
Rpe 0.1492 0.5142 11.8761 1.772 0.2455 0.5982 5.938 1.4578
Acadl 0.1909 0.5819 9.2963 1.7743 0.2178 0.5761 6.9972 1.5239
Rpl37a 2.4579 1.1033 0.2015 0.4952 2.9067 0.9041 0.0967 0.2812
Arpc2 3.2552 0.7647 0.0552 0.1796 3.196 0.6696 0.0439 0.1403
Aamp 0.3016 0.7163 5.6417 1.7014 0.3375 0.6917 4.1993 1.4174
Ctdsp1 0.2207 0.6327 8.2208 1.8141 0.2469 0.6089 6.0812 1.5016
Cnppd1 0.2477 0.6695 7.3082 1.8099 0.3357 0.7038 4.3942 1.4753
Zfand2b 0.2824 0.7164 6.4342 1.8173 0.3502 0.7282 4.3249 1.5145
Stk16 0.3957 0.8115 4.2066 1.6644 0.4298 0.7659 3.1757 1.3648
Tuba4a 1.0395 1.1898 1.3101 1.3619 1.2185 1.1347 0.8671 1.0566
Wdfy1 0.1609 0.5461 11.5152 1.8531 0.2117 0.5692 7.2294 1.5306
Mrpl44 0.2292 0.6406 7.8153 1.7909 0.2442 0.5959 5.9554 1.4541
Serpine2 0.5308 0.9672 3.3201 1.7623 0.321 0.723 5.0723 1.6283
Mff 0.4784 0.8769 3.3598 1.6073 0.5081 0.8226 2.6213 1.3319
Sp110 0.4415 0.8473 3.6834 1.6261 0.4275 0.7657 3.2076 1.3714
Sp140 0.1918 0.5887 9.4192 1.8067 0.322 0.6928 4.6295 1.4906
Sp100 0.4871 0.8828 3.285 1.6 0.588 0.874 2.209 1.299
Itm2c 0.2186 0.6595 9.1048 1.99 0.2091 0.5923 8.0206 1.6774
Psmd1 0.1967 0.5785 8.6457 1.701 0.2321 0.5848 6.3484 1.4735
Ncl 0.56 0.9364 2.7956 1.5657 0.798 0.996 1.5579 1.2432
Ptma 4.3098 1.0121 0.0551 0.2377 3.6857 1.3017 0.1247 0.4597
Pde6d 0.2298 0.6434 7.8371 1.8013 0.2876 0.6555 5.1934 1.4938
Eif4e2 0.3023 0.7321 5.8666 1.7732 0.3401 0.7072 4.3241 1.4706
Cops8 0.3051 0.726 5.6627 1.7277 0.3271 0.6817 4.3436 1.4207
Lrrfip1 0.2627 0.6723 6.549 1.7204 0.4262 0.7847 3.3895 1.4447
Ramp1 1.6614 1.3202 0.6315 1.0491 1.404 1.219 0.7539 1.0584
Ube2f 0.2915 0.7263 6.2079 1.8096 0.283 0.6541 5.3441 1.5121
Ilkap 0.3185 0.7571 5.6515 1.7998 0.2852 0.6478 5.1584 1.4712
Hes6 0.5304 0.9281 3.0618 1.624 0.5739 0.8769 2.3345 1.3399
Ndufa10 0.4215 0.831 3.8865 1.6383 0.4644 0.7866 2.8685 1.3322
Myeov2 0.4573 0.8458 3.421 1.5643 0.5513 0.8369 2.3049 1.2706
Ppp1r7 0.2042 0.6058 8.7962 1.7966 0.1829 0.5257 8.2603 1.5109
Dtymk 0.7714 1.0792 1.9572 1.5098 0.8418 1.0355 1.5131 1.2738
Fam174a 0.2248 0.6498 8.3558 1.8784 0.3842 0.7667 3.9816 1.5299
D1Ertd622e 0.4215 0.8606 4.1695 1.7574 0.4507 0.8178 3.2926 1.4839
1810006J02Rik 0.1607 0.5343 11.0531 1.7764 0.2289 0.5806 6.4318 1.4725
Vps4b 0.1749 0.5591 10.2163 1.7871 0.2724 0.6317 5.3796 1.4652
Tsn 0.4042 0.8185 4.1011 1.6575 0.3924 0.7438 3.5922 1.4098
Nifk 0.1676 0.5393 10.3594 1.7359 0.1794 0.509 8.0449 1.4436
Ralb 0.1874 0.5762 9.4548 1.7717 0.3502 0.7102 4.1131 1.4403
Dbi 1.0369 1.1567 1.2443 1.2903 1.0518 1.0588 1.0133 1.0658
Actr3 1.8473 1.1811 0.4088 0.7552 2.1038 0.9782 0.2162 0.4548
Ubxn4 0.1762 0.5755 10.6701 1.8798 0.2802 0.6461 5.3163 1.4897
Mcm6 0.3243 0.7419 5.2351 1.6975 0.3296 0.6902 4.3849 1.4454
Dars 0.814 1.0499 1.6638 1.3542 0.8145 0.9655 1.405 1.1444
Rassf5 0.1647 0.5591 11.5186 1.8975 0.2426 0.6165 6.4552 1.5663
Nucks1 0.249 0.6486 6.7858 1.6895 0.3073 0.671 4.7665 1.4649
Snrpe 0.6119 0.954 2.4307 1.4874 0.6093 0.8868 2.1185 1.2908
Btg2 0.4065 0.8909 4.8037 1.9525 0.6525 1.0114 2.4026 1.5677
Adipor1 0.8509 1.0731 1.5905 1.3534 0.8935 1.0065 1.2689 1.1338
Ptpn7 0.2156 0.6 7.7419 1.6694 0.2527 0.5981 5.6019 1.4155
Rnpep 0.2195 0.6277 8.18 1.7953 0.2697 0.6333 5.5155 1.4874
Timm17a 0.4811 0.8734 3.2959 1.5856 0.3746 0.7256 3.7531 1.4057
Csrp1 0.2971 0.6999 5.55 1.6489 0.298 0.6531 4.8035 1.4315
Ptprc 0.1658 0.5591 11.372 1.8854 0.3416 0.7409 4.7044 1.6069
Glrx2 0.2042 0.6147 9.0618 1.8505 0.2258 0.5943 6.9291 1.5644
Uchl5 0.5439 0.9165 2.8391 1.5443 0.5112 0.8225 2.5888 1.3234
Rgs2 0.3089 0.7767 6.3195 1.9524 0.4827 0.8674 3.2299 1.5589
Rgs18 0.3338 0.7661 5.2678 1.7583 0.4634 0.8137 3.0836 1.4289
Tpr 0.2822 0.717 6.4543 1.8216 0.7032 0.9491 1.8218 1.2811
Arpc5 1.8936 1.1604 0.3755 0.7111 2.1118 1.0222 0.2343 0.4948
Ncf2 0.481 0.8854 3.3887 1.6299 0.7445 0.9718 1.7038 1.2684
Glul 0.583 0.9909 2.8887 1.6842 0.6205 0.911 2.1556 1.3376
Ier5 0.6183 1.0181 2.7116 1.6765 0.5726 0.9369 2.6772 1.533
Acbd6 0.2109 0.6219 8.6921 1.8334 0.2201 0.5731 6.7809 1.4924
Qsox1 0.1531 0.5338 12.1612 1.8614 0.2225 0.595 7.1519 1.5913
Tor1aip1 0.2812 0.7105 6.3832 1.7951 0.3001 0.6781 5.1048 1.5321
Gm2000 0.9887 1.0989 1.2354 1.2214 1.0435 1.0267 0.968 1.0101
4930523C07Rik 0.1445 0.5163 12.7589 1.8441 0.244 0.6243 6.5446 1.5972
Mrps14 0.8923 1.1002 1.5202 1.3565 0.8868 0.9994 1.2701 1.1263
Cacybp 0.4994 0.8971 3.227 1.6115 0.4375 0.7693 3.0927 1.3529
Rabgap1l 0.1599 0.5508 11.8624 1.8972 0.2155 0.5736 7.0859 1.5268
Prdx6 1.3287 1.2209 0.8444 1.1219 1.4291 1.107 0.6 0.8574
Vamp4 0.2553 0.6881 7.2647 1.8545 0.2152 0.5933 7.6011 1.6357
Sell 0.6443 1.0134 2.4738 1.5938 0.7048 0.9687 1.8892 1.3314
Tiprl 0.3577 0.7712 4.6486 1.6628 0.3211 0.6747 4.4151 1.4177
Mpc2 0.7688 1.0841 1.9881 1.5285 0.8076 1.0175 1.5874 1.2819
Rcsd1 0.257 0.6758 6.9158 1.7771 0.31 0.6729 4.71 1.4603
Creg1 0.6276 1.0273 2.679 1.6814 0.5596 0.8996 2.5846 1.4463
Tada1 0.1986 0.5904 8.8423 1.7557 0.204 0.5447 7.1276 1.4542
Tmco1 0.4275 0.8486 3.9405 1.6844 0.4282 0.7812 3.3282 1.4252
Uap1 0.2414 0.6469 7.1832 1.7338 0.245 0.5997 5.993 1.4681
Fcgr2b 0.3871 0.8355 4.6588 1.8034 0.4199 0.7841 3.4875 1.4643
Fcgr3 0.7175 1.0949 2.3285 1.6708 1.0471 1.1287 1.162 1.2167
Sdhc 0.2639 0.6808 6.6579 1.7567 0.2932 0.6495 4.906 1.4386
Fcer1g 2.2995 1.1861 0.2661 0.6118 2.7841 0.9001 0.1045 0.291
Ndufs2 0.4003 0.8098 4.0929 1.6384 0.485 0.8075 2.7727 1.3447
Ufc1 0.4629 0.8859 3.6636 1.6957 0.4862 0.825 2.8798 1.4001
Pfdn2 0.8518 1.0946 1.6512 1.4065 0.7572 0.9509 1.5771 1.1941
Arhgap30 0.1319 0.5024 14.5042 1.9135 0.2519 0.6349 6.3505 1.5999
Cd48 0.3253 0.7852 5.8246 1.8949 0.4628 0.8575 3.4336 1.589
Tagln2 1.9246 1.2533 0.4241 0.8162 1.7646 1.1726 0.4416 0.7793
Rbm8a2 0.5852 0.912 2.4283 1.4212 0.404 0.7196 3.1727 1.2817
Adss 0.3624 0.7711 4.5271 1.6406 0.4698 0.8033 2.9231 1.3733
Cox20 0.2482 0.6531 6.9231 1.7185 0.2339 0.5941 6.4506 1.5089
Hnrnpu 0.8646 1.0664 1.5213 1.3153 0.879 0.9853 1.2565 1.1045
H3f3a 3.161 0.8728 0.0762 0.241 3.3305 0.6612 0.0394 0.1313
Pycr2 0.2333 0.6445 7.6279 1.7799 0.2876 0.6456 5.041 1.4496
Cnih4 0.3599 0.7782 4.677 1.6831 0.2902 0.6657 5.2626 1.5272
Lbr 0.8934 1.0816 1.4657 1.3094 1.1931 1.0546 0.7813 0.9322
Srp9 0.9905 1.1426 1.3308 1.3181 0.8868 1.0031 1.2795 1.1346
Degs1 0.5828 0.9737 2.7915 1.6269 0.7536 1.008 1.7893 1.3483
Marc2 0.2949 0.7192 5.9491 1.7543 0.3538 0.7084 4.0104 1.4187
Traf3ip3 0.1882 0.5873 9.7412 1.8331 0.2722 0.6426 5.5733 1.5171
Hsd11b1 0.2139 0.6313 8.7094 1.863 0.2205 0.5991 7.3808 1.6276
G0s2 0.1987 0.6299 10.0456 1.9963 0.2914 0.7439 6.5158 1.8989
Cr1l 0.2827 0.7037 6.1974 1.7518 0.3501 0.7174 4.199 1.4701
Hspa14 0.2174 0.6113 7.9055 1.7187 0.2298 0.5783 6.331 1.4552
Fam107b 0.8761 1.0936 1.5581 1.3651 0.8879 0.9891 1.241 1.1018
Phyh 0.2368 0.6582 7.7281 1.8298 0.2231 0.5895 6.9824 1.5578
Cdc123 0.2663 0.6831 6.5806 1.7523 0.2968 0.647 4.7529 1.4105
Nudt5 0.1823 0.5631 9.5389 1.739 0.1844 0.5099 7.6468 1.4101
Celf2 0.5596 0.9324 2.7766 1.5537 0.6567 0.9149 1.941 1.2746
Atp5c1 1.43 1.2235 0.732 1.0468 1.2334 1.081 0.7681 0.9474
Rbm17 0.475 0.8712 3.3633 1.5976 0.4244 0.7637 3.2383 1.3743
Rsu1 0.7156 1.0325 2.0817 1.4897 0.7451 0.9559 1.6457 1.2263
Vim 0.7127 1.0907 2.3421 1.6692 1.2978 1.1422 0.7746 1.0052
Commd3 0.4705 0.8763 3.4695 1.6322 0.4782 0.8066 2.8454 1.3607
Apbb1ip 0.3719 0.8014 4.6421 1.7266 0.493 0.8278 2.8196 1.3901
Abi1 0.3358 0.7685 5.2378 1.7589 0.3191 0.6887 4.6594 1.4866
Arrdc1 0.2377 0.6531 7.5507 1.7946 0.2863 0.6596 5.309 1.5198
Mrpl41 0.2232 0.6257 7.858 1.754 0.2718 0.6285 5.3473 1.4534
Tubb4b 0.5082 0.9248 3.3111 1.6828 0.5763 0.9188 2.5419 1.4649
Tmem203 0.1935 0.5971 9.5188 1.8423 0.2091 0.5743 7.5477 1.5779
Ssna1 0.8002 1.0679 1.7811 1.4252 0.8253 0.9776 1.4032 1.1581
Uap1l1 0.195 0.5909 9.1852 1.7908 0.2346 0.5951 6.4322 1.5093
BC029214 0.2381 0.6621 7.7357 1.8415 0.2691 0.636 5.5853 1.503
Edf1 0.7266 1.034 2.0248 1.4713 0.8313 0.9868 1.4091 1.1714
Phpt1 0.3409 0.7466 4.7955 1.6349 0.3864 0.7082 3.3587 1.2978
Agpat2 0.3895 0.8205 4.4363 1.7281 0.4348 0.8019 3.4011 1.479
Rpl7a 1.4111 1.2314 0.7615 1.0746 1.6821 1.1357 0.4558 0.7667
Surf4 0.278 0.6965 6.2784 1.7453 0.2785 0.6395 5.2741 1.4686
Fcnb 1.6277 1.6234 0.9947 1.6191 1.2897 1.4404 1.2474 1.6087
Set 0.7065 1.02 2.0843 1.4725 0.6978 0.954 1.8692 1.3043
Ppp2r4 0.258 0.6647 6.6353 1.7121 0.3006 0.6514 4.6945 1.4114
Tor1a 0.8259 1.0923 1.7492 1.4446 0.7765 0.9658 1.547 1.2012
BC005624 0.1967 0.5951 9.1522 1.8004 0.2328 0.5891 6.4021 1.4906
Swi5 1.0199 1.1637 1.3018 1.3277 0.976 1.0425 1.141 1.1136
1110008P14Rik 0.2736 0.7108 6.751 1.8468 0.3875 0.781 4.0624 1.5741
Lcn2 2.0113 1.7121 0.7246 1.4574 2.7007 1.7983 0.4434 1.1974
Dpm2 0.199 0.603 9.1821 1.8271 0.2484 0.6084 5.998 1.49
Cdk9 0.2977 0.7343 6.0834 1.8112 0.3079 0.6926 5.0616 1.5583
Tor2a 0.2051 0.6014 8.5947 1.7631 0.2252 0.5837 6.7158 1.5126
Rpl12 1.0239 1.1811 1.3305 1.3623 1.3739 1.1727 0.7286 1.001
Hspa5 1.5137 1.2461 0.6777 1.0259 1.5931 1.1601 0.5303 0.8448
Fbxw2 0.2103 0.6161 8.58 1.8046 0.2185 0.58 7.0466 1.5397
Psmd5 0.2789 0.6819 5.9777 1.6671 0.2879 0.627 4.7446 1.3658
Rab14 0.6298 0.9887 2.4641 1.552 0.7096 0.9359 1.7393 1.2342
Gsn 0.9325 1.1375 1.488 1.3876 0.8607 1.0634 1.5265 1.3138
Stom 0.1396 0.5024 12.9554 1.8084 0.2199 0.575 6.8337 1.503
Ndufa8 0.7598 1.0442 1.8885 1.4349 0.8279 0.9763 1.3906 1.1513
Ptgs1 0.1566 0.5326 11.5723 1.8117 0.2487 0.6115 6.0434 1.5032
Psmb7 0.649 0.9879 2.3168 1.5036 0.6836 0.9067 1.7593 1.2027
Rpl35 3.0392 1.0063 0.1096 0.3332 3.0485 0.9647 0.1001 0.3053
Arpc5l 0.6251 1.0017 2.5683 1.6054 0.5371 0.8734 2.6446 1.4203
Ppp6c 0.3258 0.7408 5.1712 1.6847 0.3987 0.7378 3.4248 1.3654
Arhgap15 0.5106 0.9016 3.1176 1.5919 0.5759 0.8648 2.2555 1.2989
Zeb2 0.1737 0.5974 11.8281 2.0546 0.3273 0.7394 5.1044 1.6705
Mmadhc 0.2413 0.6477 7.2085 1.7391 0.2297 0.5851 6.4895 1.4906
Prpf40a 0.3638 0.7843 4.6487 1.691 0.536 0.8429 2.4727 1.3255
Arl6ip6 0.3033 0.7273 5.7484 1.7437 0.3201 0.6869 4.6052 1.474
Baz2b 0.5429 0.938 2.9843 1.6203 0.7233 0.955 1.7435 1.261
March7 0.2012 0.6005 8.9103 1.7925 0.2385 0.6043 6.4193 1.5312
Rbms1 0.1942 0.6001 9.5521 1.8548 0.3369 0.7261 4.6447 1.5648
Psmd14 0.5447 0.9163 2.8301 1.5415 0.6071 0.8778 2.0903 1.2691
Gca 0.1629 0.5443 11.1672 1.8189 0.2725 0.6398 5.5118 1.5021
Spc25 0.2661 0.6938 6.7988 1.809 0.2309 0.6122 7.0323 1.6234
Ppig 0.4173 0.8381 4.0335 1.6832 0.4828 0.8082 2.8022 1.3529
Ssb 0.6159 0.9509 2.3839 1.4683 0.5246 0.8298 2.5018 1.3125
Gorasp2 0.3725 0.8094 4.7217 1.7587 0.2998 0.6647 4.9157 1.4737
Hat1 0.2025 0.5882 8.442 1.7092 0.235 0.5837 6.1712 1.45
Ola1 0.2571 0.6719 6.8295 1.7558 0.2733 0.6295 5.3054 1.4499
Atp5g3 0.3815 0.7889 4.2755 1.6313 0.4558 0.7819 2.9428 1.3413
Mtx2 0.2682 0.6859 6.5413 1.7542 0.3121 0.6582 4.4466 1.3879
Hnrnpa3 2.5479 1.1152 0.1916 0.4881 2.2599 1.0924 0.2336 0.528
Nfe2l2 0.2646 0.7058 7.1166 1.8827 0.2389 0.608 6.4777 1.5474
Ube2e3 0.431 0.8556 3.9399 1.6983 0.2897 0.6559 5.1266 1.4851
Zc3h15 0.2177 0.6253 8.2468 1.7957 0.2252 0.5766 6.5549 1.4763
2700094K13Rik 0.6973 1.0219 2.1477 1.4976 0.6197 0.9011 2.1141 1.3101
Tmx2 0.1696 0.5371 10.0315 1.7011 0.1827 0.5061 7.6762 1.4021
Ssrp1 0.3872 0.788 4.1421 1.6038 0.3989 0.7415 3.4555 1.3783
Mtch2 0.3185 0.7386 5.377 1.7127 0.3585 0.711 3.9334 1.4102
Ndufs3 0.6022 0.9689 2.5886 1.5589 0.5631 0.8533 2.296 1.293
Rapsn 0.1981 0.6196 9.7846 1.9382 0.2235 0.5927 7.0314 1.5716
Psmc3 0.6229 0.9703 2.4262 1.5114 0.6091 0.8771 2.0732 1.2628
Spi1 1.6953 1.2307 0.527 0.8934 1.8369 1.052 0.328 0.6025
Arfgap2 0.1948 0.5962 9.3676 1.8248 0.214 0.5683 7.0519 1.509
Pex16 0.2058 0.6104 8.7974 1.8105 0.1806 0.532 8.6823 1.5676
Cd82 0.2002 0.6037 9.0899 1.8201 0.2618 0.6364 5.9071 1.5466
Hsd17b12 0.2426 0.6333 6.8157 1.6533 0.28 0.6383 5.1982 1.4553
Api5 0.2088 0.6004 8.2656 1.7261 0.2438 0.5871 5.799 1.4137
B230118H07Rik 0.2446 0.6605 7.2886 1.7831 0.2668 0.6524 5.977 1.5949
Cd44 0.2025 0.6156 9.2449 1.8719 0.2642 0.6548 6.1449 1.6232
Caprin1 0.2477 0.6378 6.631 1.6423 0.3198 0.662 4.2855 1.3705
Lmo2 1.2664 1.2482 0.9715 1.2303 1.2794 1.125 0.7732 0.9893
Eif3m 0.8368 1.0761 1.6538 1.3839 0.8963 1.0014 1.2481 1.1187
Immp1l 0.211 0.6158 8.5157 1.7971 0.2127 0.5688 7.1516 1.5211
Lin7c 0.2334 0.6452 7.6432 1.7838 0.1603 0.4992 9.698 1.5546
Ccdc34 0.2169 0.6194 8.1522 1.7684 0.2644 0.6374 5.8107 1.5364
Nop10 0.8262 1.112 1.8115 1.4966 0.7087 0.954 1.8122 1.2843
Emc4 0.2889 0.7088 6.0173 1.7386 0.2975 0.6466 4.7231 1.4051
Emc7 0.5908 0.9578 2.6285 1.5529 0.5429 0.8471 2.4344 1.3217
Srp14 0.5792 0.9561 2.7252 1.5783 0.654 0.9144 1.9551 1.2786
1700020I14Rik 0.2243 0.6278 7.8356 1.7573 0.2841 0.6558 5.3302 1.5141
Nusap1 0.3642 0.8129 4.9806 1.8142 0.2712 0.6783 6.2566 1.6966
Rtf1 0.2397 0.6649 7.6926 1.8442 0.3631 0.7292 4.0336 1.4645
Snap23 0.2192 0.6296 8.2487 1.8083 0.307 0.7015 5.2226 1.6032
Ccndbp1 0.227 0.6457 8.0912 1.8367 0.2445 0.6259 6.5542 1.6025
Pdia3 1.1785 1.1615 0.9713 1.1447 1.2314 1.0882 0.7809 0.9617
Serf2 2.388 1.0632 0.1982 0.4734 2.2953 0.9666 0.1774 0.4071
Hypk 0.5367 0.8967 2.7915 1.4983 0.4919 0.8012 2.6529 1.3049
Mfap1b 0.1834 0.5735 9.7738 1.7928 0.1914 0.5389 7.9249 1.517
Eif3j1 0.2323 0.6153 7.0165 1.6299 0.2883 0.6378 4.8929 1.4107
B2m 2.8471 1.1866 0.1737 0.4946 2.525 1.0156 0.1618 0.4085
Gatm 0.8098 1.0906 1.8136 1.4687 0.7781 1.0025 1.6601 1.2917
AA467197 0.1758 0.5993 11.617 2.0426 0.3014 0.7699 6.5235 1.9664
Sqrdl 0.2376 0.6661 7.8592 1.8673 0.3888 0.7588 3.8092 1.4811
Dut 0.7844 1.0967 1.9548 1.5334 0.6532 0.9777 2.2402 1.4634
Atp8b4 0.2651 0.678 6.5403 1.734 0.3467 0.6996 4.0724 1.4118
Usp50 0.2312 0.6163 7.1082 1.6432 0.2148 0.5433 6.3953 1.374
Blvra 0.2309 0.6381 7.6349 1.763 0.2514 0.6179 6.0419 1.5188
Dusp2 0.4306 0.8897 4.2683 1.8381 0.2683 0.6686 6.2121 1.6665
Sirpa 0.2004 0.5978 8.8934 1.7826 0.313 0.6906 4.8672 1.5235
Snrpb 1.3684 1.2171 0.7911 1.0826 1.2704 1.0859 0.7306 0.9281
Nop56 0.2188 0.6268 8.2099 1.7961 0.2714 0.6312 5.4071 1.4677
Idh3b 0.1955 0.5927 9.1871 1.7964 0.1927 0.5428 7.9344 1.5288
Ptpra 0.1937 0.5889 9.2411 1.7903 0.2732 0.6347 5.3995 1.4749
Mrps26 0.4098 0.8235 4.0379 1.6548 0.3682 0.7172 3.7945 1.3971
Ddrgk1 0.5491 0.9371 2.9129 1.5993 0.544 0.8489 2.4352 1.3247
Itpa 0.1691 0.5438 10.3344 1.748 0.1881 0.5214 7.6847 1.4454
Tmem230 0.2373 0.6472 7.4357 1.7647 0.2285 0.5863 6.5835 1.5043
Pcna 0.7256 1.0557 2.1167 1.536 0.6002 0.9183 2.3408 1.4051
Tmx4 0.2581 0.6809 6.9602 1.7963 0.3435 0.7282 4.4937 1.5438
Snrpb2 0.5356 0.9262 2.99 1.6015 0.4399 0.7832 3.1697 1.3944
Dstn 1.63 1.2636 0.601 0.9796 1.8836 1.1207 0.354 0.6668
Rrbp1 0.1777 0.579 10.6133 1.8863 0.4026 0.7736 3.6928 1.4866
Snx5 0.2253 0.6384 8.0312 1.8091 0.2489 0.6066 5.9423 1.4787
Dtd1 0.1666 0.5376 10.417 1.7351 0.1913 0.531 7.7011 1.4735
Naa20 0.2872 0.7046 6.0171 1.7283 0.2238 0.5763 6.6299 1.4838
Xrn2 0.211 0.6175 8.5645 1.8072 0.3109 0.6756 4.7226 1.4681
Nxt1 0.411 0.8187 3.9688 1.631 0.3817 0.7297 3.6543 1.395
Cst3 1.8278 1.3068 0.5111 0.9343 2.0003 1.1549 0.3334 0.6668
Apmap 0.2721 0.684 6.3184 1.7194 0.3403 0.6967 4.1916 1.4263
Nsfl1c 0.1806 0.5605 9.6292 1.7394 0.2117 0.5572 6.9261 1.4663
Fkbp1a 0.6742 1.0097 2.243 1.5122 0.6133 0.8901 2.1061 1.2917
Rbck1 0.2532 0.6701 7.0032 1.7732 0.2657 0.6114 5.296 1.407
H13 0.6295 0.9972 2.5093 1.5797 0.6496 0.9157 1.9873 1.2909
Id1 0.6328 1.0592 2.801 1.7726 0.8355 1.07 1.6403 1.3704
Pdrg1 0.2045 0.6106 8.9148 1.823 0.2497 0.6172 6.1094 1.5256
Hck 0.2099 0.6268 8.9162 1.8716 0.3623 0.7514 4.3021 1.5586
Commd7 0.47 0.8738 3.4567 1.6246 0.5369 0.8427 2.4638 1.3227
Mapre1 0.5612 0.9268 2.728 1.5308 0.6155 0.8902 2.0917 1.2875
Chmp4b 0.6158 0.998 2.6266 1.6174 0.6833 0.9356 1.875 1.2811
Raly 0.8529 1.074 1.5855 1.3523 0.8166 0.9748 1.4252 1.1638
Eif2s2 0.7484 1.0383 1.9251 1.4407 0.6121 0.8861 2.0961 1.2829
Dynlrb1 0.9481 1.1347 1.4323 1.358 0.8654 0.994 1.3193 1.1417
Edem2 0.2328 0.6524 7.8526 1.8281 0.2361 0.5963 6.3795 1.5061
Eif6 0.6364 0.9873 2.4069 1.5317 0.6693 0.8947 1.787 1.196
Ergic3 0.3847 0.8111 4.4442 1.7098 0.3963 0.7454 3.5385 1.4022
Romo1 0.349 0.7463 4.5731 1.5959 0.4005 0.7259 3.2856 1.3159
Rbm39 1.1933 1.1848 0.9858 1.1764 1.2382 1.0692 0.7457 0.9233
Scand1 0.9434 1.1424 1.4664 1.3834 1.0794 1.0619 0.9679 1.0447
1110008F13Rik 1.6277 1.2408 0.5812 0.946 1.8176 1.0906 0.36 0.6544
Samhd1 0.2768 0.7329 7.0119 1.9407 0.3852 0.8141 4.4677 1.7208
Rpn2 0.8435 1.0764 1.6286 1.3737 0.7937 0.9654 1.4795 1.1742
Manbal 0.2587 0.6865 7.0406 1.8217 0.2216 0.5873 7.0268 1.5569
